Reviews
Very bad again order krny par shayad again buy krny ki saza di hy pehly jitna tha us sy half aya hy ab jab k order same tha
so nice
Amazing quality and good service
good quality
Received my parcel dekhny main to aachi lag Rai hai use krny k baad quality Ka pata chale GA.
achi hai magr bhOt choti hAi .. but gOod 👍
Havent used yet but seems good
not applied yet late delivery other wise product is good provide one extra sheet thanks for that quality is also good 😊
sheet is ok description is incorrect and size is 1ft by 2ft. however seller is not ready to admit the mistake. I don't know how to explain him.
"Alert!!! is seller say purchase mat krna jhoota admi hai wrong produxts send ki 6 order ki thi 4 choty roll 2 bary 4 choty bhej k kehta main my shai order bheja hai, ramzan may b 2 numbri koi is say purchase na kry."
Very small
bht he excellent item Han same as shown and very hard after pasting
"seller is best,length and width bilkul accurate show kr k sell kr rhy hn,jab k dosry sellers length r width wazeh nhi krty or price se dokha dety hn.mjy extra sheet b as a gift bejhi👍thank you"
"It,s amazing just like in picture . Tank u so much"
it was okay not the best
Nice product but before buying always discuss your accurate measurements with seller so he can guide u accordingly
Over all great xprenc daraz Now i am satisfiyed also send one xtra sheet thax seller
A very useful think in good price...
Hi main ne wooden wallpaper k 4 rolls mangway thy jub k mujhe receive 2 hoy hai nd bill mujhe 4ro ka hi diya gaya hai baki k 2 wallpapers kaha hai?
satisfied..seller was cooperative
bhot zabardast
no so good as in pic. can b used for painted wall or wooden or plain surface. not use for wet area
zbrdst item
Thaik hai guzara karwa rai hai solace bht kam hai is ki
Ap logo na aik sheet bhji hy paisay 2no k lekr sir ye kya bt hui hy kya seller hy ap sir kindly dosra roll b bhjy
haven't used to be honest but on the surface seemed good. now DIY fri3ndlyness and adhesive is critical i shall updates with pics when done
product achi hai but size bht Kam hai unexpected hai
bohat buri sheet ha air soze bhi bohat kam ha ap n 1 feet by 4 feet mention kia tha aur ye to 1.5 feet ki bhi nahi ha
worth price quality of product is average . not as per pic. role Karna ki waja sa paper per selvet ya curves Pari hoi thi. packing mathod ko change karain taka curves na aaen.
itna chota bja afsoo dekha kuch bhja kuch
size chota hy pr overall gd thnx draZ
Very good product same as shown order again soon
the quality of the product is good
excellent product thankx daraz
good
Delivered same as shown in picture recommended 👍
small in width
Thanks nice and look original wood. But the size problem. Please increase the size of the sheet. but nice thanks
nice
many sheet mangwayi thi achi thi sheet or paper mangwaye thy woh bhi achy thy thang daraz
nice
",😠😠😠😠😠327rs k Sirf y"
Same as shown in pics
heavy
It's fantastic
vry nice
yar ma NY 2 order kiye thy but AP NY 1 Baja or paisy 2k lye
good quality but length was too short 4/5
size bht chota ha.overall good
size m bht chota hai
recommended
zabardast ha
best in this price very useful
"not good for wood, very low gum qaility"
Good Quality Highly recommended
100% recommend this
nice
Bht achi sheets hy hmesha ki tarha mene ye 4 dafa mangwai hy same wahi aati hy
awesome
great quality
Good service of daraz i agree
very good quality product 👌
too small
excellent 👌
Recommended ❤️
product is good as per price
Good very satisfying
size is small and got in two pieces in same size.
excellent quality easy to apply Tysm 👍
very good quality well done.
Very beautiful sheet.jesi dekhi thi same vesi hi mili hy.thanks seller
ahci thin pr price k mutabiq size chota hy
Nice 🙂
Bht acha experience raha jesi chiz dkhai same send ki 👍👍👎
fazool😏
good
size was not accurate quality fair
Good
It has really nice subtle texture on it. Not a very cracy texture neither a very plain one. It’s not a lot of sheet and also it’s length is very less and width is more so you will need to patch stick it if on a wider table.
good I am satisfied time pr delivered hoa aur sheet nhi achi hay pr size bohat chota hay it's ok thanks
daikhnay me sheet thek hai but pasting me bilkul zero hai main e kitchen cabnits p chipkae na sahe c chipki or jo zara bohat halki halki chapki ak din bad hi ukhar gae
Amazing product..🤗
excellent quality . very good product . samr as shown in picture . thanks seller 10/10 . keep it up .
"Pathetic product pathetic delivery time. I received it late than the expected time. Moreover, Its less than what i saw in reviews pictures. I ordered 3 where i received 3 cut small pieces, probably half of the sheet divided in 3 parts. Its stick is also very bad. Shame on you seller. It even didn't cover 1 room flat wood"
i received my parcel today and it is excellent in quality thanks seller . recommended to all
good
boht achi shet hy
Yet to see its results
nice butt very small size
Ok
Ok
Good
Ok
Length of the sheet is too too small. I ordered two sheets even with joint in it they both barely cover 1 table. I mean in 400 its not worth it at all. totally disappointed !
theek hy bs
"Nice,.. 👍"
nice
"i ordered four sheets but they deliverd 3 sheets,pesy mujh sy 4 sheets k he liye hain or sheets mujhy 3 deliver kr de this is not fair"
"oky the product is good but it's too much small in size so taking 320 for this is not fair , the product to send should be cost 20 rupees not more than this . kindly send appropriate things . so my advice is don't purchase it. if you do , you can use it on your one book only . so you can guess the size and check the price . not recommended."
quality was good
ak parcel to a gya . but next parcel nhi rececive hua . 3 weeks ago . bad service
zra ache nhi lge because bht chote chote tools dye cutting hwe v price b Kam the islye saller ne pack hi chota krdia isse tu Mera Kam hi kharab hwa.. patch lga k sheets lgani pri..
Ye koi b na parchase kry ye only ik chota sa color paper milta h same asa jesa show kya hwa h but only chota ik copy size py b pura nh over priced h or quality bilkul low bilkul kharb h paper h
The best quality of pvc... perfect sheet worth trying again
pasy 3/1kleya ha our Baji thore hù bakar ha apnay pasy zaya mat kary
mujhe mila hi nahi.pata nahi kahan deliver ker diya..itni dair ho gai hai
Very bad product seller fradi ka bach ha or bkl bhi ha or bska ha
it was good👍🏻
meny 3 mangwaye charges bhe 3 ka Liya or behja 2 ha
340 m deya h or bohat Kam h Ramzan bhi luto
"quality achi nahi,total waste of money"
bht small piece hai ...
Pesy itny or choti c sheet achi hi thi bs itne khas nahi
achi shet hy... bs size me choti c hy....
size is so small
"The lenght of the sheets are too much shorts... I buy these similar sheets from another store of daraz, their lenght are double and the quality was also good...but you people decieve the buyers... on the same rate , it is half lenght sheet..."
but short pice bheje hain
entahi cheep paper sheet
"Not recommend bilkul bekar ha sheet 2, din me hi utr gai"
"paise Zayaa kiye 😭 halki quality hain ,"
low quality
The sticking of the sheet was very poor. The sheet was crumbled when I received it.
good one
you sent 1/2 foot but you told 1/4 foot
too small
just stickers nothing else
expensive
good
